SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
773,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,12-03-2021 08:30,"","",2,""
774,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,05-04-2021 08:30,"","",2,""
775,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,20-05-2021 08:30,"","",2,""
776,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,07-06-2021 08:30,"","",2,""
777,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,07-07-2021 08:30,"","",2,""
778,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,05-08-2021 08:30,"","",2,""
779,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,10-09-2021 08:30,"","",2,""
780,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,08-11-2021 08:30,"","",2,""
781,RIVER BEAS U/S SUJANPUR TIHRA,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83414300,76.49441300,15-12-2021 08:30,"","",2,""
782,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,02-01-2021 08:30,1.1,"","",""
783,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,01-02-2021 08:30,"","","",""
784,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,02-03-2021 08:30,1.1,"","",""
785,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,16-04-2021 08:30,1.2,"","",""
786,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,19-05-2021 08:30,1.1,"","",""
787,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,08-06-2021 08:30,1.1,"","",""
788,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,04-10-2021 08:30,1.1,"","",""
789,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,11-11-2021 08:30,1.1,"","",""
790,RIVER BETWA AT U/S AT MAHUTA GHAT AGASOD,CPCB,9,Uttar Pradesh,153,JHANSI,GURSARAI,-,-,-,-,-,-,-,-,25.76747200,79.33130900,16-12-2021 08:30,1.1,"","",""
791,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,02-01-2021 08:30,2.8,"",5000,""
792,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,16-01-2021 08:30,3.2,"",7000,""
793,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,02-02-2021 08:30,2.5,"",7000,""
794,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,18-02-2021 08:30,2.9,"",8000,""
795,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-03-2021 08:30,3.2,"",9000,""
796,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,18-03-2021 08:30,3,"",5000,""
797,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-04-2021 08:30,3.2,"",5000,""
